e_id,e_name,event_date,event_place,e_description,e_category
6501,Justin Timberlake Live in Concert,10-02-2023,Madison Square Garden,Get ready for Justin Timberlake's electrifying show,concert
8456,MLB Home Run Derby,07-10-2023,Dodger Stadium,The power hitters compete in the Home Run Derby,sports
3769,"Coldplay ""A Head Full of Dreams"" Tour",05-10-2023,MetLife Stadium,"Relive Coldplay's ""A Head Full of Dreams"" tour",concert
5724,Summer Paralympics Athletics,09-02-2023,LA Memorial Coliseum,Track and field action at the Summer Paralympics,sports
9831,"Fleetwood Mac ""An Evening with Fleetwood Mac"" Tour",08-27-2023,Hollywood Bowl,Experience Fleetwood Mac's iconic music,concert
4310,College Football National Championship,01-09-2023,Lucas Oil Stadium,The pinnacle of college football,sports
6123,Lizzo Live in Concert,09-09-2023,The Forum,Join Lizzo for an unforgettable live performance,concert
2576,Formula E Championship,07-15-2023,Brooklyn Street Circuit,The future of electric car racing,sports
7240,"Pearl Jam ""Gigaton"" Tour",05-20-2023,Hard Rock Stadium,"Rock out with Pearl Jam on their ""Gigaton"" tour",concert
5281,NBA Draft,06-22-2023,Barclays Center,The NBA's annual player selection event,sports
9432,The Chainsmokers Live in Concert,10-14-2023,Hollywood Bowl,Don't miss The Chainsmokers' high-energy show,concert
3267,Summer Paralympics Athletics,07-29-2023,LA Memorial Coliseum,The pinnacle of track and field at the Summer Olympics,sports
8934,"Kiss ""End of the Road"" Tour",08-05-2023,Mercedes-Benz Stadium,Experience Kiss on their farewell tour,concert
4790,Summer Paralympics Swimming,09-04-2023,USC Uytengsu Aquatics Center,Swimming action at the Summer Paralympics,sports
6251,James Taylor Live in Concert,10-01-2023,Hollywood Bowl,An evening of classic tunes with James Taylor,concert
2185,US Open Golf Championship,06-18-2023,Los Angeles Country Club,Witness golf's prestigious major,sports
8573,"Shania Twain ""Let's Go!"" Tour",09-16-2023,T-Mobile Arena,"Get ready for Shania Twain's ""Let's Go!"" tour",concert
3904,Summer Olympics Gymnastics,07-24-2023,Staples Center,The artistry of gymnastics at the Summer Olympics,sports
6328,"The Rolling Stones ""No Filter"" Tour",09-02-2023,Arrowhead Stadium,Don't miss The Rolling Stones on tour,concert
4283,Summer Paralympics Wheelchair Basketball,09-05-2023,LA Convention Center,Wheelchair basketball action at the Summer Paralympics,sports
2186,MLB World Series - Game 1,10-17-2023,Various Locations,The start of the MLB World Series,sports
7623,Ariana Grande Live in Concert,08-30-2023,Staples Center,Get ready for Ariana Grande's powerhouse performance,concert
5290,Summer Olympics Opening Ceremony,08-06-2023,LA Memorial Coliseum,The grand finale of the Summer Olympics,sports
3985,John Mayer Live in Concert,10-29-2023,The O2 Arena,An unforgettable night with John Mayer,concert
6287,MLB World Series - Game 1,10-24-2023,Various Locations,The MLB World Series continues with Game 4,sports
5295,NFL International Series,11-05-2023,Tottenham Hotspur Stadium,The NFL comes to London for exciting matchups,sports
5413,"Billie Eilish ""Happier Than Ever"" Tour",11-10-2023,Hollywood Bowl,"Experience Billie Eilish's ""Happier Than Ever"" tour",concert
4235,Summer Paralympics Wheelchair Tennis,09-06-2023,LA Tennis Center,Wheelchair tennis action at the Summer Paralympics,sports
6520,"Pink ""Beautiful Trauma"" Tour",10-08-2023,Madison Square Garden,"Join Pink on her ""Beautiful Trauma"" tour",concert
9817,World Series of Poker Main Event,07-01-2023,Rio All-Suite Hotel and Casino,The ultimate poker championship,sports
5299,ACM Awards,04-09-2023,Allegiant Stadium,The Academy of Country Music Awards honor the best in country music,sports
8210,Dave Matthews Band Live in Concert,09-22-2023,Hollywood Bowl,A night of music with Dave Matthews Band,concert
2156,NHL Draft,06-24-2023,Prudential Center,The NHL's annual player selection event,sports
9785,Kacey Musgraves Live in Concert,11-17-2023,The Forum,Don't miss Kacey Musgraves' live performance,concert
3297,Summer Paralympics Archery,09-07-2023,El Dorado Park,Archery competition at the Summer Paralympics,sports
4385,UFC 276,08-19-2023,TD Garden,The top MMA fighters face off in UFC 276,sports
6276,"Green Day ""Hella Mega"" Tour",11-05-2023,Hard Rock Stadium,Green Day,concert
8724,Summer Olympics Synchronized Swimming,07-29-2023,Uytengsu Aquatics Center,Synchronized swimming at the Summer Olympics,sports
5274,"The Weeknd ""After Hours"" Tour",11-25-2023,Hollywood Bowl,"Experience The Weeknd's ""After Hours"" tour",concert
3989,MLB All-Star Game,07-03-2023,Coors Field,Baseball's brightest stars on one field,sports
2395,"Taylor Swift ""Red (Taylor's Version)"" Tour",05-05-2024,Wembley Stadium,"Experience Taylor Swift's ""Red (Taylor's Version)"" tour",concert
6793,"Bruno Mars ""24K Magic"" Tour",04-15-2024,Hollywood Bowl,"Experience Bruno Mars' ""24K Magic"" tour",concert
9845,Billie Eilish Live in Concert,05-02-2024,The O2 Arena,Get ready for Billie Eilish's captivating show,concert
6837,"Katy Perry ""Witness"" Tour",04-29-2024,MGM Grand Garden Arena,"Join Katy Perry on her ""Witness"" tour",concert
9848,Lana Del Rey Live in Concert,05-10-2024,Hollywood Bowl,Get ready for Lana Del Rey's captivating show,concert
9846,"Adele ""30"" Tour",05-19-2024,Madison Square Garden,"Experience Adele's ""30"" tour",concert
9847,"Coldplay ""Music of the Spheres"" Tour",05-30-2024,Hollywood Bowl,"Join Coldplay on their ""Music of the Spheres"" tour",concert
9849,"Ed Sheeran ""Equals"" Tour",06-05-2024,Wembley Stadium,"Don't miss Ed Sheeran's ""Equals"" tour",concert
9850,"Justin Bieber ""Justice"" Tour",06-20-2024,Staples Center,"Experience Justin Bieber's ""Justice"" tour",concert
9851,Lorde Live in Concert,07-02-2024,The O2 Arena,Don't miss Lorde's live performance,concert
9852,"Metallica ""WorldWired"" Tour",07-15-2024,MGM Grand Garden Arena,Prepare for a night of heavy metal with Metallica,concert
9853,Shawn Mendes Live in Concert,07-25-2024,Hollywood Bowl,Don't miss Shawn Mendes' live performance,concert
9854,"Taylor Swift ""Red (Taylor's Version)"" Tour",08-01-2024,Madison Square Garden,"Experience Taylor Swift's ""Red (Taylor's Version)"" tour",concert
9855,"Bruno Mars ""24K Magic"" Tour",08-15-2024,Wembley Stadium,"Experience Bruno Mars' ""24K Magic"" tour",concert
9856,Billie Eilish Live in Concert,08-29-2024,MGM Grand Garden Arena,Get ready for Billie Eilish's captivating show,concert
9857,"Katy Perry ""Witness"" Tour",09-07-2024,Hollywood Bowl,"Join Katy Perry on her ""Witness"" tour",concert
9858,Lana Del Rey Live in Concert,09-22-2024,The O2 Arena,Get ready for Lana Del Rey's captivating show,concert
9859,"Adele ""30"" Tour",10-05-2024,Staples Center,"Experience Adele's ""30"" tour",concert
9860,"Coldplay ""Music of the Spheres"" Tour",10-20-2024,MGM Grand Garden Arena,"Join Coldplay on their ""Music of the Spheres"" tour",concert
9861,"Ed Sheeran ""Equals"" Tour",11-03-2024,Wembley Stadium,"Don't miss Ed Sheeran's ""Equals"" tour",concert
9862,"Justin Bieber ""Justice"" Tour",11-18-2024,Hollywood Bowl,"Experience Justin Bieber's ""Justice"" tour",concert
9863,Lorde Live in Concert,12-02-2024,Madison Square Garden,Don't miss Lorde's live performance,concert
9864,"Metallica ""WorldWired"" Tour",12-15-2024,Staples Center,Prepare for a night of heavy metal with Metallica,concert
9865,Shawn Mendes Live in Concert,12-30-2024,Wembley Stadium,Don't miss Shawn Mendes' live performance,concert
9866,"Taylor Swift ""Red (Taylor's Version)"" Tour",01-14-2025,MGM Grand Garden Arena,"Experience Taylor Swift's ""Red (Taylor's Version)"" tour",concert
9867,"Bruno Mars ""24K Magic"" Tour",01-29-2025,Hollywood Bowl,"Experience Bruno Mars' ""24K Magic"" tour",concert
9868,Billie Eilish Live in Concert,02-12-2025,The O2 Arena,Get ready for Billie Eilish's captivating show,concert
9869,"Katy Perry ""Witness"" Tour",02-27-2025,Wembley Stadium,"Join Katy Perry on her ""Witness"" tour",concert
9870,Lana Del Rey Live in Concert,03-14-2025,MGM Grand Garden Arena,Get ready for Lana Del Rey's captivating show,concert
9871,"Adele ""30"" Tour",03-29-2025,Hollywood Bowl,"Experience Adele's ""30"" tour",concert
9872,"Coldplay ""Music of the Spheres"" Tour",04-12-2025,Staples Center,"Join Coldplay on their ""Music of the Spheres"" tour",concert
9873,"Ed Sheeran ""Equals"" Tour",04-27-2025,Wembley Stadium,"Don't miss Ed Sheeran's ""Equals"" tour",concert
9874,"Justin Bieber ""Justice"" Tour",05-10-2025,MGM Grand Garden Arena,"Experience Justin Bieber's ""Justice"" tour",concert
9875,Lorde Live in Concert,05-25-2025,Hollywood Bowl,Don't miss Lorde's live performance,concert
9876,"Metallica ""WorldWired"" Tour",06-09-2025,Madison Square Garden,Prepare for a night of heavy metal with Metallica,concert
1069,One Direction,11-12-2023,Times Sq.,Band Reunite,concert
